mat,periodo,freq,semestre
9,3,0,2004.1
12,3,6,2004.1
15,3,7,2004.1
18,3,4,2004.1
21,3,0,2004.1
24,3,5,2004.1
27,3,4,2004.1
30,3,7,2004.1
33,3,5,2005.1
36,3,4,2004.1
39,3,7,2004.1
42,3,6,2004.1
45,3,6,2004.1
48,3,4,2004.1
51,3,6,2004.1
54,3,6,2004.1
57,3,5,2004.1
60,3,0,2004.1
63,3,6,2004.1
66,3,4,2004.1
69,3,6,2004.1
72,3,6,2004.1
75,3,0,2004.1
78,3,6,2004.1
81,3,3,2010.2
84,3,6,2010.2
87,3,6,2006.1
90,3,4,2006.2
93,3,6,2006.1
96,3,6,2006.1
99,3,5,2006.1
102,3,6,2006.1
105,3,6,2006.1
108,3,2,2009.1
111,3,7,2009.1
114,3,6,2009.1
117,3,4,2009.1
120,3,7,2009.1
123,3,4,2009.1
126,3,6,2009.1
129,3,6,2009.1
132,3,7,2009.1
135,3,6,2009.1
138,3,7,2009.1
141,3,6,2009.1
144,3,6,2009.1
147,3,6,2009.1
150,3,6,2009.1
153,3,6,2009.1
156,3,7,2009.1
159,3,7,2009.1
162,3,4,2009.1
165,3,4,2009.1
168,3,7,2009.1
171,3,6,2009.1
174,3,6,2009.1
177,3,6,2009.1
180,3,6,2003.1
183,3,6,2003.1
186,3,6,2003.1
189,3,6,2003.1
192,3,6,2003.1
195,3,6,2003.1
198,3,4,2003.1
201,3,6,2003.1
204,3,6,2003.1
207,3,6,2003.1
210,3,6,2003.1
213,3,6,2003.1
216,3,6,2003.1
219,3,6,2003.1
222,3,6,2003.1
225,3,5,2003.1
228,3,4,2010.1
231,3,4,2010.1
234,3,3,2006.2
237,3,5,2007.1
240,3,0,2007.1
243,3,1,2013.2
246,3,2,2012.2
249,3,0,2012.2
252,3,4,2009.2
255,3,6,2009.2
258,3,4,2009.2
261,3,7,2009.2
264,3,4,2009.2
267,3,7,2009.2
270,3,7,2009.2
273,3,0,2011.1
276,3,7,2011.1
279,3,7,2011.1
282,3,2,2011.1
285,3,5,2011.1
288,3,6,2011.1
291,3,7,2011.1
294,3,7,2011.1
297,3,0,2011.1
300,3,3,2013.1
303,3,7,2010.2
306,3,5,2011.2
309,3,0,2010.1
312,3,4,2010.1
315,3,6,2010.1
318,3,3,2010.1
321,3,7,2010.1
324,3,3,2010.1
327,3,6,2010.1
330,3,7,2010.1
333,3,0,2013.2
336,3,0,2012.2
339,3,2,2012.2
342,3,7,2011.1
345,3,7,2011.1
348,3,1,2011.1
351,3,1,2011.1
354,3,7,2011.1
357,3,2,2011.1
360,3,0,2011.1
363,3,5,2011.1
366,3,7,2011.1
369,3,5,2011.1
372,3,2,2013.1
375,3,1,2010.2
378,3,0,2010.2
381,3,3,2008.2
384,3,5,2008.2
387,3,5,2004.2
390,3,3,2004.2
393,3,0,2004.2
396,3,0,2007.2
399,3,6,2007.2
402,3,6,2007.2
405,3,2,2005.2
408,3,4,2005.2
411,3,0,2005.2
414,3,4,2005.2
417,3,1,2006.1
420,3,4,2005.2
423,3,4,2005.2
426,3,5,2005.2
429,3,5,2005.2
432,3,4,2005.2
435,3,3,2005.2
438,3,4,2005.2
441,3,5,2005.2
444,3,4,2005.2
447,3,5,2005.2
450,3,0,2005.2
453,3,3,2005.2
456,3,6,2010.1
459,3,4,2010.1
462,3,3,2010.1
465,3,2,2010.1
468,3,6,2010.1
471,3,4,2010.1
474,3,3,2010.1
477,3,4,2010.1
480,3,5,2010.1
483,3,5,2011.2
486,3,6,2010.1
489,3,6,2010.1
492,3,6,2011.2
495,3,7,2011.2
498,3,4,2011.2
501,3,5,2011.2
504,3,7,2010.1
507,3,7,2010.1
510,3,6,2010.2
513,3,1,2008.1
516,3,6,2006.2
519,3,2,2006.2
522,3,3,2006.2
525,3,6,2006.2
528,3,1,2006.2
531,3,5,2006.2
534,3,3,2007.1
537,3,5,2006.2
540,3,5,2006.2
543,3,4,2006.2
546,3,6,2006.2
549,3,5,2006.2
552,3,3,2006.2
555,3,2,2006.2
558,3,0,2013.2
561,3,1,2013.2
564,3,0,2013.1
567,3,0,2013.1
570,3,1,2013.1
573,3,0,2013.1
576,3,0,2013.1
579,3,6,2004.1
582,3,5,2011.1
585,3,0,2011.1
588,3,0,2010.1
591,3,3,2010.1
594,3,3,2010.1
597,3,5,2008.1
600,3,7,2008.1
603,3,6,2008.1
606,3,5,2008.1
609,3,4,2008.1
612,3,4,2008.1
615,3,5,2008.1
618,3,5,2008.1
621,3,5,2008.1
624,3,5,2008.1
627,3,6,2008.1
630,3,6,2008.1
633,3,5,2008.1
636,3,0,2003.2
639,3,4,2003.2
642,3,4,2008.1
645,3,2,2007.2
648,3,4,2007.2
651,3,2,2007.2
654,3,0,2012.1
657,3,4,2012.1
660,3,4,2011.2
663,3,5,2011.2
666,3,5,2005.1
669,3,2,2005.1
672,3,4,2005.1
675,3,4,2005.1
678,3,6,2005.1
681,3,4,2005.1
684,3,0,2005.1
687,3,6,2005.1
690,3,5,2005.1
693,3,3,2005.1
696,3,5,2005.1
699,3,5,2005.1
702,3,2,2005.1
705,3,4,2005.1
708,3,1,2005.1
711,3,4,2005.1
714,3,6,2005.1
717,3,5,2005.1
720,3,4,2005.1
723,3,5,2005.1
726,3,1,2005.1
729,3,4,2005.1
732,3,7,2011.1
735,3,5,2011.1
738,3,7,2004.1
741,3,3,2010.2
744,3,5,2010.2
747,3,4,2010.2
750,3,1,2010.2
753,3,4,2010.2
756,3,3,2010.2
759,3,6,2010.2
762,3,6,2010.2
765,3,4,2008.1
768,3,7,2008.2
771,3,5,2008.2
774,3,6,2008.2
777,3,4,2008.2
780,3,6,2008.2
783,3,4,2008.2
786,3,2,2008.2
789,3,3,2008.2
792,3,2,2008.2
795,3,7,2008.2
798,3,0,2008.2
801,3,6,2008.2
804,3,4,2004.2
807,3,4,2004.2
810,3,2,2004.2
813,3,4,2004.2
816,3,4,2004.2
819,3,4,2004.2
822,3,5,2004.2
825,3,2,2004.2
828,3,3,2004.2
831,3,4,2004.2
834,3,4,2004.2
837,3,4,2004.2
840,3,2,2012.1
843,3,0,2012.1
846,3,7,2012.1
849,3,0,2012.1
852,3,7,2012.1
855,3,0,2013.1
858,3,5,2005.2
861,3,6,2009.2
864,3,6,2009.2
867,3,6,2009.2
870,3,7,2009.2
873,3,5,2009.2
876,3,1,2012.2
879,3,4,2008.1
882,3,3,2008.1
885,3,5,2008.1
888,3,6,2007.2
891,3,6,2007.2
894,3,0,2007.2
897,3,2,2007.2
900,3,5,2007.2
903,3,4,2007.2
906,3,2,2007.2
909,3,4,2007.2
912,3,0,2007.2
915,3,2,2007.2
918,3,2,2007.2
921,3,6,2007.2
924,3,4,2007.2
927,3,4,2007.2
930,3,0,2007.2
933,3,4,2007.2
936,3,1,2007.2
939,3,6,2007.2
942,3,0,2003.2
945,3,6,2003.2
948,3,0,2003.2
951,3,5,2003.2
954,3,0,2003.2
957,3,6,2003.2
960,3,1,2003.2
963,3,4,2003.2
966,3,0,2003.2
969,3,1,2003.2
972,3,6,2003.2
975,3,0,2003.2
978,3,0,2003.2
981,3,6,2006.1
984,3,6,2006.1
987,3,5,2006.1
990,3,1,2006.1
993,3,6,2006.1
996,3,6,2006.1
999,3,6,2006.1
1002,3,4,2008.2
1005,3,3,2006.1
1008,3,5,2006.1
1011,3,5,2006.1
1014,3,6,2006.1
1017,3,6,2006.1
1020,3,6,2006.1
1023,3,5,2006.1
1026,3,6,2006.1
1029,3,0,2012.1
1032,3,1,2006.1
1035,3,7,2009.1
1038,3,6,2009.1
1041,3,6,2009.1
1044,3,6,2007.1
1047,3,4,2007.1
1050,3,6,2007.1
1053,3,5,2007.1
1056,3,5,2007.1
1059,3,4,2007.1
1062,3,4,2007.1
1065,3,6,2007.1
1068,3,5,2007.1
1071,3,4,2007.1
1074,3,6,2007.1
1077,3,6,2007.2
1080,3,5,2007.1
1083,3,6,2007.1
1086,3,0,2007.1
1089,3,2,2007.1
1092,3,4,2007.1
1095,3,0,2007.1
1098,3,6,2007.1
1101,3,6,2007.1
1104,3,0,2007.1
1107,3,4,2007.1
1110,3,6,2007.1
1113,3,1,2012.2
1116,3,7,2009.2
1119,3,5,2010.1
1122,3,1,2009.2
1125,3,1,2009.2
3,4,2,2013.2
6,4,3,2004.2
9,4,0,2004.2
12,4,5,2004.2
15,4,6,2004.2
18,4,5,2004.2
21,4,1,2004.2
24,4,4,2004.2
27,4,5,2004.2
30,4,6,2004.2
33,4,3,2005.2
36,4,3,2004.2
39,4,6,2004.2
42,4,7,2004.2
45,4,7,2004.2
48,4,3,2004.2
51,4,6,2004.2
54,4,5,2004.2
57,4,4,2004.2
60,4,0,2004.2
63,4,1,2004.2
66,4,3,2004.2
69,4,6,2004.2
72,4,6,2004.2
75,4,0,2004.2
78,4,7,2004.2
81,4,1,2011.1
84,4,5,2011.1
87,4,5,2006.2
90,4,2,2007.1
93,4,6,2006.2
96,4,5,2006.2
99,4,4,2006.2
102,4,6,2006.2
105,4,6,2006.2
108,4,0,2009.2
111,4,6,2009.2
114,4,4,2009.2
117,4,1,2009.2
120,4,6,2009.2
123,4,3,2009.2
126,4,5,2009.2
129,4,5,2009.2
132,4,6,2009.2
135,4,4,2009.2
